科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
实收资本(或股本),731250082.00,731250082.00,731250082.00,731250082.00,731250082.00,731250082.00,731250082.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,934916069.00,976757073.00
其他权益工具,,,,,,,,,,,,,,,,,,,,
资本公积,327657715.80,321727399.14,320869929.04,320869929.04,320869929.04,319243414.63,320995739.11,1095932210.68,1123043400.11,1123043400.11,1123043400.11,1129842709.38,1129842709.38,1156299509.66,1194752388.17,1194752388.17,1191438552.59,1215624594.96,1215624594.96,1468950536.86
减：库存股,,,,,,,,,,,,,,,,,,,,
其他综合收益,,,,,,,,,-12670868.57,68169014.50,-12670868.57,-12670868.57,-12670868.57,-12670868.57,-12670868.57,-12670868.57,-12670868.57,-12670868.57,-12670868.57,-12670868.57
专项储备,,,,,,,,,,,,,,,,,,,,
盈余公积,435531143.44,449322219.97,454993936.12,454993936.12,461088854.55,463579822.91,472259079.04,477857713.55,488135589.16,492204268.27,492204268.27,492204268.27,492204268.27,492204268.27,492204268.27,492204268.27,492204268.27,492204268.27,492204268.27,494178368.16
未分配利润,480596080.23,578096109.29,534533343.31,309038431.85,497102283.54,544626496.51,579204631.48,674467286.37,645090957.98,258056713.10,483831282.78,463529944.95,539253140.08,717491458.35,834133573.75,886627971.94,869092074.37,739184721.58,821697297.15,922620139.85
外币报表折算差额,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者权益合计,1975035021.47,2080395810.40,2041647290.47,1816152379.01,2010311149.13,2058699816.05,2103709531.63,3183173279.60,3178515147.68,2876389464.98,3021324151.59,3007822123.03,3083545318.16,3288240436.71,3443335430.62,3495829828.81,3474980095.66,3369258785.24,3451771360.81,3849835249.30
少数股东权益,478565385.21,508174783.10,475677729.24,457977146.40,428878125.81,357856884.41,430747885.58,420924460.77,717864609.55,596380068.90,581033040.51,597137416.37,613295702.95,731768880.09,931758732.21,960238179.80,963445763.42,1148363396.28,1173286677.80,1237786859.93
所有者权益合计,2453600406.68,2588570593.50,2517325019.71,2274129525.41,2439189274.94,2416556700.46,2534457417.21,3604097740.37,3896379757.23,3472769533.88,3602357192.10,3604959539.40,3696841021.11,4020009316.80,4375094162.83,4456068008.61,4438425859.08,4517622181.52,4625058038.61,5087622109.23
负债和所有者权益总计,4654611623.93,5220728077.21,6166215406.12,5772988965.46,6473467440.48,6556444428.48,6469381152.98,7236197494.53,7959314888.66,8202652242.14,7463397272.45,7015456690.71,7293966646.70,7106136466.55,6975997707.33,7183282921.50,7847686673.50,8013902416.00,7978369008.10,8964394235.20
