# 跨申报交叉核分歧登记：同一会计年份在「本年自己的 10-K」与「后续 10-K 的比较列」中数值不一致的全部落点。
"# 检出方法=对每份 10-K 的 2-3 个期间列全量采集后按(科目,会计年份)比对；单位千美元。"
# 处置=「修正」类已在三表 CSV 中采用后续申报值(本年申报自身是 SEC 渲染/filer 标注错误)；「重述」类保留本年 as-reported，跨年比较时须注意。
报表,科目,会计年份,本年申报值,后续申报值,后续申报份数,判定与处置
CF,tsla_RepaymentsOfConvertibleAndOtherDebt,2021,14167000,-14167000,1,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,us-gaap_IncreaseDecreaseInAccountsReceivable,2021,130000,-130000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,us-gaap_IncreaseDecreaseInInventories,2021,1709000,-1709000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,us-gaap_IncreaseDecreaseInOtherNoncurrentAssets,2021,1291000,-1291000,1,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2021,271000,-271000,2,符号相反(本年申报 SEC 渲染未套用 negatedLabel)→按后续申报修正
CF,us-gaap_PaymentsToAcquireIntangibleAssets,2021,-1500000,0,0,"FY2021 申报把购买数字资产 1,500 重复标注到无形资产 tag→整行剔除(后续申报 + 分项勾稽双证)"
IS,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,2021,1129000,3386000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
IS,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,2021,986000,2959000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,tsla_AccruedAndOtherCurrentLiabilities,2022,7142000,8205000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_OtherAssetsNoncurrent,2022,4193000,3865000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2022,6029000,8029000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2022,-1417000,-3713000,2,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
BS,us-gaap_OtherAssetsNoncurrent,2024,4215000,4609000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
CF,us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,2024,-11339000,-11342000,1,跨申报数值不一致(重述/追溯调整)→保留本年 as-reported
