科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
非流动负债合计,6460885.12,2299896.65,1606000.0,1167476.85,8654323.7,7598849.2,30069377.46,33423611.15,44039987.2,105877853.26,86015251.44,75941794.2,65233538.96,2578159130.03,4079762171.13,4127562444.52,6404544529.2,11691918253.45,6549476960.84,2896553469.73
负债合计,1213192092.96,1781095622.67,1600238768.44,1718235689.28,2463911210.43,5252392443.81,5802119357.62,3096868423.56,3377487008.92,2819324446.4,2861606962.95,4443166862.1,5480716977.43,9365238050.22,11827333949.74,15074520882.85,17056686417.88,21762747471.75,20826588928.87,14900912470.81
股本,871399673.0,871399673.0,1394239476.0,1394239476.0,1394239476.0,1394239476.0,1398268476.0,1402252476.0,1402252476.0,1402252476.0,1402252476.0,1464752476.0,1464752476.0,1464752476.0,1464752476.0,1464752476.0,1471895100.0,1471987769.0,1471951503.0,1471941963.0
资本公积,699123844.97,702924243.5,350586362.4,353502857.46,463244939.34,604011022.35,701618651.8,648354531.35,652078482.34,652078482.34,650609324.27,3543519701.63,3716675022.48,3722777063.13,3722777063.13,3755354665.73,4800154468.99,5185481523.22,5365763566.55,5439328102.53
盈余公积,311849543.62,389612456.32,511149486.26,698275514.39,916668314.99,1210780374.99,1398268476.0,1402252476.0,1402252476.0,1402252476.0,1402252476.0,1464752476.0,1464752476.0,1464752476.0,1464752476.0,1464752476.0,1471895100.0,1471987769.0,1471951503.0,1471941963.0
未分配利润,349830488.99,740444791.26,1222080463.94,1802037866.11,2743209424.72,3959885072.75,6205078290.64,7115305531.9,6242284506.09,6593460633.89,7377914588.85,8527196810.86,10181899224.84,12559746579.91,16236513212.43,21187860235.89,26772197213.98,33815566574.75,39340298309.42,41413087028.16
其他综合收益,,,,,,,,,14235945.89,226114710.62,,,136592276.64,194817130.57,186063325.03,167527152.32,330751245.84,63130469.51,,
归母权益合计,2232203550.58,2704381164.08,3478055788.6,4248055713.96,5517362155.05,7168915946.09,9703349887.06,10568084468.94,9713103886.32,10276158778.85,11009813755.5,15171448756.68,16964671475.96,19406845725.61,23074858552.59,28040247005.94,34207871130.03,41391410494.89,47388500553.46,49780293635.74
少数股东权益,12568639.31,6384034.04,14767458.89,16398716.42,44991824.69,55923137.52,67507193.14,69337117.96,80228074.24,86190469.54,94129946.87,141145455.42,159541143.03,147885302.49,107011321.12,97014116.89,120923806.61,140297234.96,119506082.25,113788744.72
所有者权益合计,2244772189.89,2710765198.12,3492823247.49,4264454430.38,5562353979.74,7224839083.61,9770857080.2,10637421586.9,9793331960.56,10362349248.39,11103943702.37,15312594212.1,17124212618.99,19554731028.1,23181869873.71,28137261122.83,34328794936.64,41531707729.85,47508006635.71,49894082380.46
