科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
股本,432924133.0,432924133.0,432924133.0,432924133.0,432924133.0,432924133.0,865848266.0,865848266.0,865848266.0,865848266.0,865848266.0,865848266.0,865848266.0,871528266.0,871528266.0,1220114372.0,1220073422.0,1219964222.0,1219964222.0,1219964222.0
资本公积,297795125.67,297795125.67,297795125.67,297795125.67,297795125.67,297795125.67,240806934.27,240806934.27,240806934.27,240806934.27,240806934.27,242144634.27,338915407.36,131968976.9,204081023.91,451643412.56,591695582.75,704072987.94,704072987.94,704072987.94
减:库存股,,,,,,,,,,,,,,105250400.0,100138400.0,59296860.0,25138260.0,,,
其他综合收益,,,,,,,,,,5754011.64,4373958.75,3652504.56,2586721.33,2587896.36,2719069.68,2587896.36,-1417405.28,-5413538.34,281682.71,272447.63
专项储备,,,,,,,7713670.65,16540586.48,26836927.29,33349299.47,42009654.27,49622714.79,58322079.72,70058407.16,90403826.16,108575413.52,136742661.1,131061453.89,127568004.57,153540386.04
盈余公积,102462326.36,134566431.43,160267962.85,199322736.9,257453369.65,257453369.65,353184948.69,471792757.35,471792757.35,471792757.35,471792757.35,471792757.35,471792757.35,471792757.35,419793411.02,558057839.67,558057839.67,558057839.67,558057839.67,558057839.67
未分配利润,292945146.56,425583013.86,575785294.81,718546677.51,938444307.76,1502529721.58,2084726425.47,2233864810.94,2286576114.54,2807179050.1,3135233565.73,3603118750.46,4718540982.4,6004259883.9,8288572591.88,12941043720.49,18840959693.98,25229164947.41,32143885679.15,36997231831.08
归母权益合计,1126126731.59,1290868703.96,1466772516.33,1648588673.08,1926616936.08,2490702349.9,3552280245.08,3828853355.04,3891860999.45,4424730318.83,4760065136.37,5236179627.43,6456006214.16,7446945787.67,9776959788.65,15222725794.6,21320973534.22,27836907912.57,34753830416.04,39633139714.36
少数股东权益,87544905.2,111201584.03,120637398.13,143565153.63,132999518.88,90612397.5,72328343.05,47321500.95,43847946.93,70522791.5,76970508.11,102532597.21,299232732.15,177644980.29,287976946.6,364034149.01,424632580.73,438161933.1,450652243.11,501330282.24
所有者权益合计,1213671636.79,1402070287.99,1587409914.46,1792153826.71,2059616454.96,2581314747.4,3624608588.13,3876174855.99,3935708946.38,4495253110.33,4837035644.48,5338712224.64,6755238946.31,7624590767.96,10064936735.25,15586759943.61,21745606114.95,28275069845.67,35204482659.15,40134469996.6
